instance_id,model_id,dataset,split,probe,norm_answer,reason
vizwiz_VizWiz_val_00002479_2479,Qwen/Qwen3-VL-8B-Instruct,vizwiz,train,crop,unknown,valid_applicable_but_unusable_normalized_answer
vizwiz_VizWiz_val_00001269_1269,Qwen/Qwen3-VL-8B-Instruct,vizwiz,train,blur,unknown,valid_applicable_but_unusable_normalized_answer
vizwiz_VizWiz_val_00002658_2658,Qwen/Qwen3-VL-8B-Instruct,vizwiz,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
vizwiz_VizWiz_val_00002658_2658,Qwen/Qwen3-VL-8B-Instruct,vizwiz,train,brightness,unknown,valid_applicable_but_unusable_normalized_answer
vizwiz_VizWiz_val_00000917_917,Qwen/Qwen3-VL-8B-Instruct,vizwiz,train,brightness,unknown,valid_applicable_but_unusable_normalized_answer
vizwiz_VizWiz_val_00001012_1012,Qwen/Qwen3-VL-8B-Instruct,vizwiz,train,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10024021_4,Qwen/Qwen3-VL-8B-Instruct,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
prehal_1000016_27611eb4682a84a3_1143,Qwen/Qwen3-VL-8B-Instruct,prehal,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
prehal_1001783_0b24f53d0e300aed_1804,Qwen/Qwen3-VL-8B-Instruct,prehal,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011002_6,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011003_10,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011003_10,google/gemma-4-E4B-it,illusionbench,shift,blur,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011003_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011004_8,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011006_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011013_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011014_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011014_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011014_9,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011016_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011021_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011025_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011026_13,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011027_10,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011027_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011029_7,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011033_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011034_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011034_4,google/gemma-4-E4B-it,illusionbench,shift,blur,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011034_6,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011035_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10011036_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10021006_16,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10021010_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10021012_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10021022_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10021028_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10021033_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10021037_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10021038_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10023001_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10023002_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10023005_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10023005_3,google/gemma-4-E4B-it,illusionbench,shift,blur,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10023005_3,google/gemma-4-E4B-it,illusionbench,shift,crop,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10023005_3,google/gemma-4-E4B-it,illusionbench,shift,brightness,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10023009_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10023013_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10023019_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10023025_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10023029_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10023032_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10023038_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10023040_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10024001_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10024001_3,google/gemma-4-E4B-it,illusionbench,shift,blur,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10024001_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10024003_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10024006_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10024013_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10024023_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10024023_4,google/gemma-4-E4B-it,illusionbench,shift,blur,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10024026_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10024026_2,google/gemma-4-E4B-it,illusionbench,shift,blur,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10024035_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10024036_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10024038_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10029004_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10029017_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10029018_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10029019_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10029022_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10029030_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10029031_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10031017_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10031030_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10031031_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10031037_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10031039_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10032001_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10032002_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10032013_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10032014_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10032016_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10032030_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10032033_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10032040_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10039002_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10039006_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10039015_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10039015_7,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10039017_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10039018_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10039021_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10039024_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10039027_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10039032_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10039032_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10039034_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10039035_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10039035_3,google/gemma-4-E4B-it,illusionbench,shift,blur,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10039038_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10039039_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10044001_2,google/gemma-4-E4B-it,illusionbench,shift,brightness,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10044004_11,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10044021_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10044022_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10044030_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10044034_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10044035_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10044037_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10044037_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10044039_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10044040_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10045001_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10045002_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10045004_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10045006_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10045006_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10045007_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10045013_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10045016_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10045018_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10045018_2,google/gemma-4-E4B-it,illusionbench,shift,blur,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10045021_3,google/gemma-4-E4B-it,illusionbench,shift,brightness,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10045021_3,google/gemma-4-E4B-it,illusionbench,shift,noise,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10045031_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10045037_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10045038_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10045039_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10046006_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10046007_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10046012_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10046015_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10046016_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10046025_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10046026_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10046028_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10046028_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10046029_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10046029_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10049001_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10049001_4,google/gemma-4-E4B-it,illusionbench,shift,blur,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10049005_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10049005_3,google/gemma-4-E4B-it,illusionbench,shift,blur,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10049007_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10049012_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10049018_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10049022_13,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10049022_7,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10049023_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10049024_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10049028_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10050023_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10050033_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10050036_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10055002_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10055011_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10055018_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10055018_4,google/gemma-4-E4B-it,illusionbench,shift,blur,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10055031_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10055036_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10055040_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10063003_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10063004_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10063007_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10063008_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10063009_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10063010_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10063010_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10063010_9,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10063012_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10063030_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10063035_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10063035_2,google/gemma-4-E4B-it,illusionbench,shift,blur,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10063036_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10063036_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10063038_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10065001_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10065002_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10065008_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10065008_3,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10065009_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10065017_4,google/gemma-4-E4B-it,illusionbench,shift,crop,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10065022_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10065022_2,google/gemma-4-E4B-it,illusionbench,shift,blur,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10065022_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10065026_4,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10065031_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
illusionbench_10065034_2,google/gemma-4-E4B-it,illusionbench,shift,blank,unknown,valid_applicable_but_unusable_normalized_answer
