image_key,fold
hallusionbench:VD/math/7_1.png,2
hallusionbench:VD/ocr/12_1.png,0
hallusionbench:VD/ocr/14_1.png,1
hallusionbench:VD/ocr/15_0.png,1
hallusionbench:VD/ocr/15_1.png,3
hallusionbench:VD/ocr/17_0.png,1
hallusionbench:VD/ocr/17_1.png,0
hallusionbench:VD/ocr/18_0.png,2
hallusionbench:VD/ocr/18_1.png,0
hallusionbench:VD/ocr/19_1.png,0
hallusionbench:VD/ocr/1_0.png,4
hallusionbench:VD/ocr/20_0.png,4
hallusionbench:VD/ocr/20_1.png,0
hallusionbench:VD/ocr/2_0.png,4
hallusionbench:VD/ocr/2_1.png,0
hallusionbench:VD/ocr/3_0.png,1
hallusionbench:VD/ocr/3_1.png,1
hallusionbench:VD/ocr/3_2.png,1
hallusionbench:VD/ocr/4_1.png,0
hallusionbench:VD/ocr/5_0.png,0
hallusionbench:VD/ocr/5_1.png,2
hallusionbench:VD/ocr/6_1.png,4
hallusionbench:VD/ocr/9_0.png,1
hallusionbench:VD/video/0_1.png,1
hallusionbench:VD/video/11_0.png,4
hallusionbench:VD/video/12_0.png,1
hallusionbench:VD/video/13_0.png,3
hallusionbench:VD/video/14_2.png,0
hallusionbench:VD/video/15_0.png,1
hallusionbench:VD/video/17_0.png,0
hallusionbench:VD/video/17_1.png,4
hallusionbench:VD/video/18_2.png,3
hallusionbench:VD/video/19_1.png,2
hallusionbench:VD/video/1_2.png,3
hallusionbench:VD/video/6_0.png,3
hallusionbench:VS/chart/10_2.png,4
hallusionbench:VS/chart/11_1.png,0
hallusionbench:VS/chart/12_2.png,0
hallusionbench:VS/chart/13_1.png,3
hallusionbench:VS/chart/14_2.png,4
hallusionbench:VS/chart/15_1.png,2
hallusionbench:VS/chart/15_2.png,1
hallusionbench:VS/chart/16_1.png,2
hallusionbench:VS/chart/17_2.png,0
hallusionbench:VS/chart/18_1.png,2
hallusionbench:VS/chart/18_2.png,4
hallusionbench:VS/chart/20_2.png,4
hallusionbench:VS/chart/3_1.png,1
hallusionbench:VS/chart/6_1.png,4
hallusionbench:VS/chart/7_2.png,4
hallusionbench:VS/chart/8_2.png,3
hallusionbench:VS/map/10_1.png,3
hallusionbench:VS/map/1_1.png,4
hallusionbench:VS/map/6_1.png,3
hallusionbench:VS/map/7_1.png,3
hallusionbench:VS/map/7_2.png,3
hallusionbench:VS/map/8_1.png,2
hallusionbench:VS/map/9_1.png,2
hallusionbench:VS/ocr/10_1.png,4
hallusionbench:VS/ocr/10_2.png,3
hallusionbench:VS/ocr/1_2.png,0
hallusionbench:VS/ocr/2_1.png,4
hallusionbench:VS/ocr/2_2.png,1
hallusionbench:VS/ocr/3_2.png,4
hallusionbench:VS/ocr/4_1.png,0
hallusionbench:VS/ocr/5_2.png,0
hallusionbench:VS/ocr/6_1.png,4
hallusionbench:VS/ocr/6_2.png,2
hallusionbench:VS/ocr/8_1.png,4
hallusionbench:VS/ocr/8_2.png,0
hallusionbench:VS/ocr/9_1.png,0
hallusionbench:VS/table/5_1.png,1
hallusionbench:VS/table/5_3.png,1
hallusionbench:VS/table/7_1.png,1
hallusionbench:VS/table/8_3.png,1
hallusionbench:VS/table/9_1.png,0
